h;f_backward;f_central;f_forward;d_backward;d_central;d_forward;f_s;d_s;
0.8632;0.085994548;0.010874754;0.064245039;0.085994566;0.010874787;0.064244993;0.091497186;0.091497126; 
0.863;0.085972732;0.010869777;0.064233148;0.085972711;0.010869795;0.064233122;0.091473486;0.091473421; 
0.8628;0.085950857;0.01086483;0.064221257;0.085950857;0.010864804;0.064221249;0.091449785;0.091449717; 
0.8626;0.085929042;0.010859853;0.064209336;0.085929004;0.010859815;0.064209374;0.091425914;0.091426013; 
0.8624;0.085907167;0.010854846;0.064197475;0.085907151;0.010854826;0.064197499;0.091402265;0.09140231; 
0.8622;0.085885263;0.01084984;0.064185554;0.085885299;0.010849839;0.064185621;0.091378543;0.091378608; 
0.862;0.085863477;0.010844833;0.064173812;0.085863448;0.010844853;0.064173743;0.091354954;0.091354907; 
0.8618;0.085841602;0.010839826;0.06416192;0.085841598;0.010839868;0.064161862;0.091331299;0.091331206; 
0.8616;0.085819697;0.010834849;0.064150029;0.085819748;0.010834884;0.064149981;0.091307606;0.091307506; 
0.8614;0.085797912;0.010829872;0.064138138;0.085797899;0.010829901;0.064138097;0.091283943;0.091283806; 
0.8612;0.085776067;0.010824955;0.064126217;0.085776051;0.010824919;0.064126213;0.091260153;0.091260107; 
0.861;0.085754222;0.010819978;0.064114326;0.085754203;0.010819938;0.064114327;0.091236386;0.091236409; 
0.8608;0.085732377;0.010815001;0.064102405;0.085732357;0.010814959;0.064102439;0.091212671;0.091212711; 
0.8606;0.085710502;0.010809934;0.064090633;0.085710511;0.01080998;0.06409055;0.091189112;0.091189015; 
0.8604;0.085688627;0.010804987;0.064078683;0.085688665;0.010805003;0.064078659;0.091165382;0.091165318; 
0.8602;0.085666812;0.01080001;0.064066821;0.085666821;0.010800027;0.064066767;0.091141726;0.091141623; 
0.86;0.085644996;0.010795093;0.064054871;0.085644977;0.010795052;0.064054873;0.091117974;0.091117928; 
0.8598;0.085623151;0.010790086;0.064042979;0.085623134;0.010790078;0.064042978;0.091094303;0.091094234; 
0.8596;0.085601246;0.010785079;0.064031058;0.085601292;0.010785105;0.064031082;0.091070461;0.09107054; 
0.8594;0.085579461;0.010780132;0.064019167;0.08557945;0.010780133;0.064019184;0.091046761;0.091046847; 
0.8592;0.085557616;0.010775125;0.064007366;0.08555761;0.010775163;0.064007284;0.091023232;0.091023155; 
0.859;0.085535741;0.010770148;0.063995415;0.085535769;0.010770193;0.063995383;0.090999532;0.090999463; 
0.8588;0.085513926;0.010765201;0.063983524;0.08551393;0.010765225;0.06398348;0.090975884;0.090975772; 
0.8586;0.085492081;0.010760254;0.063971573;0.085492092;0.010760258;0.063971576;0.090952161;0.090952082; 
0.8584;0.085470235;0.010755307;0.063959682;0.085470254;0.010755291;0.063959671;0.090928505;0.090928393; 
0.8582;0.08544842;0.010750359;0.063947731;0.085448417;0.010750326;0.063947764;0.090904596;0.090904704; 
0.858;0.085426545;0.010745353;0.06393581;0.08542658;0.010745362;0.063935855;0.090880919;0.090881015; 
0.8578;0.08540476;0.010740376;0.063924009;0.085404745;0.0107404;0.063923946;0.090857405;0.090857328; 
0.8576;0.085382855;0.010735458;0.063911968;0.08538291;0.010735438;0.063912034;0.090833548;0.090833641; 
0.8574;0.08536107;0.010730481;0.063900167;0.085361076;0.010730477;0.063900121;0.090810019;0.090809955; 
0.8572;0.085339254;0.010725534;0.063888246;0.085339242;0.010725518;0.063888207;0.0907864;0.090786269; 
0.857;0.085317409;0.010720557;0.063876295;0.08531741;0.010720559;0.063876291;0.090762678;0.090762584; 
0.8568;0.085295564;0.01071558;0.063864374;0.085295578;0.010715602;0.063864373;0.090738881;0.0907389; 
0.8566;0.085273749;0.010710692;0.063852423;0.085273747;0.010710646;0.063852455;0.090715136;0.090715216; 
0.8564;0.085251904;0.010705656;0.063840622;0.085251916;0.010705691;0.063840534;0.090691637;0.090691534; 
0.8562;0.085230088;0.010700739;0.063828552;0.085230087;0.010700737;0.063828612;0.09066781;0.090667851; 
0.856;0.085208273;0.010695791;0.06381675;0.085208258;0.010695784;0.063816689;0.090644296;0.09064417; 
0.8558;0.085186428;0.010690785;0.063804829;0.08518643;0.010690833;0.063804764;0.090620603;0.090620489; 
0.8556;0.085164613;0.010685897;0.063792848;0.085164602;0.010685882;0.063792838;0.09059691;0.090596809; 
0.8554;0.085142768;0.01068092;0.063780868;0.085142776;0.010680933;0.06378091;0.090573046;0.090573129; 
0.8552;0.085120952;0.010676003;0.063768977;0.08512095;0.010675984;0.063768981;0.090549405;0.09054945; 
0.855;0.085099107;0.010670996;0.063757116;0.085099124;0.010671037;0.06375705;0.090525846;0.090525772; 
0.8548;0.085077262;0.010666078;0.063745046;0.0850773;0.010666091;0.063745118;0.090502027;0.090502095; 
0.8546;0.085055477;0.010661101;0.063733244;0.085055476;0.010661146;0.063733184;0.090478542;0.090478418; 
0.8544;0.085033631;0.010656184;0.063721293;0.085033653;0.010656202;0.063721249;0.090454857;0.090454742; 
0.8542;0.085011846;0.010651267;0.063709342;0.085011831;0.010651259;0.063709312;0.090431187;0.090431066; 
0.854;0.084990001;0.010646319;0.063697392;0.08499001;0.010646318;0.063697374;0.090407494;0.090407391; 
0.8538;0.084968215;0.010641402;0.063685411;0.084968189;0.010641377;0.063685434;0.090383644;0.090383717; 
0.8536;0.08494634;0.010636425;0.06367355;0.084946369;0.010636438;0.063673493;0.090360101;0.090360044; 
0.8534;0.084924525;0.010631538;0.06366148;0.08492455;0.0106315;0.063661551;0.090336303;0.090336371; 
0.8532;0.08490271;0.010626531;0.063649619;0.084902731;0.010626562;0.063649606;0.090312745;0.090312699; 
0.853;0.084880865;0.010621584;0.063637698;0.084880914;0.010621626;0.063637661;0.090289089;0.090289027; 
0.8528;0.084859109;0.010616696;0.063625717;0.084859097;0.010616691;0.063625714;0.090265434;0.090265357; 
0.8526;0.084837234;0.010611749;0.063613766;0.08483728;0.010611758;0.063613765;0.09024177;0.090241687; 
0.8524;0.084815449;0.010606831;0.063601786;0.084815465;0.010606825;0.063601815;0.090217921;0.090218017; 
0.8522;0.084793633;0.010601884;0.063589865;0.08479365;0.010601893;0.063589864;0.090194318;0.090194348; 
0.852;0.084771848;0.010596997;0.063577855;0.084771836;0.010596963;0.063577911;0.090170625;0.09017068; 
0.8518;0.084750033;0.01059199;0.063565993;0.084750023;0.010592033;0.063565956;0.090147096;0.090147013; 
0.8516;0.084728187;0.010587072;0.063554042;0.08472821;0.010587105;0.063554;0.090123455;0.090123346; 
0.8514;0.084706402;0.010582185;0.063542032;0.084706398;0.010582178;0.063542043;0.09009974;0.09009968; 
0.8512;0.084684557;0.010577238;0.063530081;0.084684587;0.010577252;0.063530084;0.090076084;0.090076015; 
0.851;0.084662771;0.01057232;0.063518101;0.084662777;0.010572327;0.063518123;0.090052265;0.09005235; 
0.8508;0.084640956;0.010567403;0.06350612;0.084640968;0.010567403;0.063506161;0.090028602;0.090028686; 
0.8506;0.084619141;0.010562515;0.06349414;0.084619159;0.01056248;0.063494198;0.090004917;0.090005023; 
0.8504;0.084597385;0.010557538;0.063482338;0.084597351;0.010557559;0.063482233;0.089981484;0.089981361; 
0.8502;0.08457554;0.010552621;0.063470298;0.084575543;0.010552638;0.063470267;0.089957784;0.089957699; 
0.85;0.084553695;0.010547704;0.063458288;0.084553737;0.010547719;0.063458299;0.089934091;0.089934037; 
0.8498;0.084531909;0.010542786;0.063446337;0.084531931;0.010542801;0.063446329;0.089910458;0.089910377; 
0.8496;0.084510124;0.010537899;0.063434327;0.084510126;0.010537884;0.063434359;0.089886661;0.089886717; 
0.8494;0.084488309;0.010532981;0.063422376;0.084488322;0.010532968;0.063422386;0.089863005;0.089863058; 
0.8492;0.084466493;0.010528064;0.063410365;0.084466518;0.010528053;0.063410413;0.089839357;0.089839399; 
0.849;0.084444738;0.010523117;0.063398534;0.084444715;0.010523139;0.063398437;0.089815836;0.089815741; 
0.8488;0.084422892;0.010518199;0.063386494;0.084422913;0.010518226;0.063386461;0.089792173;0.089792084; 
0.8486;0.084401107;0.010513312;0.063374513;0.084401112;0.010513315;0.063374482;0.08976848;0.089768428; 
0.8484;0.084379321;0.010508424;0.063362533;0.084379311;0.010508404;0.063362503;0.089744876;0.089744772; 
0.8482;0.084357536;0.010503507;0.063350493;0.084357512;0.010503495;0.063350521;0.089721012;0.089721117; 
